tree_type,latitude,longitude,size
Callery pear,40.071148125579704,-83.11471120059782,1137
Callery pear,39.91653500846995,-82.81621142469946,970
Callery pear,40.100335479739584,-82.97304349289931,663
Callery pear,39.92987448452991,-83.0829364374359,576
Callery pear,39.99380622457732,-83.14240739328865,560
Callery pear,39.92737954595745,-82.90279588952127,552
Callery pear,40.070929748910714,-82.8873831591607,468
Callery pear,39.946877484987695,-82.98718325844955,366
Callery pear,40.10695290298153,-83.06371070547934,188
Pin oak,39.93477182693396,-82.85430520603774,321
Pin oak,40.10045393640777,-82.97796264592233,249
Pin oak,39.94557500769231,-83.10053239653847,212
Pin oak,39.95014110853583,-82.93178296890966,106
Pin oak,40.06178417047619,-83.17609805214286,103
Pin oak,40.036763705461844,-83.00164481052208,58
Pin oak,40.110152074411765,-83.07077223705882,52
Pin oak,39.950092915849055,-83.00364180849057,51
Pin oak,40.04094765627451,-82.81781188862745,42
Pin oak,40.065122206206894,-82.91528811775862,34
Green ash,39.74406016266129,-104.96057013853809,5828
Green ash,39.78410723842251,-104.752025762131,2992
Green ash,39.68761040083222,-104.96259632356283,2777
Green ash,39.76612628097728,-105.02635569361702,2773
Green ash,39.65793222388166,-104.90070330086785,2535
Green ash,39.76058754934659,-104.88433682950487,2464
Green ash,39.6314130115665,-105.06339756453202,2172
Green ash,39.72467954626936,-104.90948349416637,2168
Green ash,39.785894644169964,-104.8190227979249,1015
Green ash,39.71428065983426,-105.01342394175875,1012
Littleleaf linden,39.76359481833419,-104.88678381266017,2199
Littleleaf linden,39.7410329444975,-104.95819823860846,1957
Littleleaf linden,39.78959569117706,-104.75677193179075,1951
Littleleaf linden,39.69036618303628,-104.9673612086569,1864
Littleleaf linden,39.65061567147107,-104.89178734975206,1571
Littleleaf linden,39.7236581284127,-105.00647814454365,1008
Littleleaf linden,39.721966105084306,-104.90316587588144,994
Littleleaf linden,39.78528767840263,-104.82328906958425,605
Littleleaf linden,39.64806526797183,-105.05645874112676,457
Littleleaf linden,39.76429341069743,-105.02441542532188,355
Norway maple,39.69346487458823,-104.9674026822745,1555
Norway maple,39.78622118655388,-104.77174557042606,1459
Norway maple,39.74095038753941,-104.9371576477039,1275
Norway maple,39.77312318368,-104.881066956,1056
Norway maple,39.76608478986743,-105.02963671363636,798
Norway maple,39.72652516905308,-104.90098578493543,697
Norway maple,39.70042477019763,-105.02736323754941,500
Norway maple,39.6255797688587,-105.06091364456522,253
Norway maple,39.739370154990354,-104.97432870090033,184
Norway maple,39.65761828940476,-104.90898240119047,168
Red maple,39.788630093768475,-104.76414116182266,533
Red maple,39.72541710694184,-104.96599051707317,435
Red maple,39.76669105344827,-105.03081556597702,425
Red maple,39.61749048425197,-105.06793940866142,406
Red maple,39.769964040247935,-104.88906985909091,398
Red maple,39.698018554565216,-105.03069073152174,349
Red maple,39.72272705475645,-104.9042435939828,242
Red maple,39.753372768015076,-104.94502665025126,127
Red maple,39.65844779571428,-104.9073725974026,92
Red maple,39.690017137647054,-104.96771524,77
Pin oak,39.79146453,-104.89131187142857,66
Pin oak,39.75966091027027,-105.0336742054054,39
Pin oak,39.72709282090909,-104.95875391212121,37
Pin oak,39.782774589999995,-104.83279801428571,35
Pin oak,39.788657284,-104.74731292,33
Pin oak,39.68971864923077,-104.96476795641026,31
Pin oak,39.74100338924242,-104.98599943484848,21
Pin oak,39.73712110870968,-104.89051470967742,15
Pin oak,39.75522154942857,-104.93386103428571,12
Pin oak,39.6655255275,-104.89767024999999,7
Green ash,41.69051817255507,-93.06946766757709,315
Green ash,41.85327996979592,-93.96683169989797,257
Green ash,41.68560486795181,-94.4278917153012,227
Green ash,41.63316108609524,-93.8371406884127,174
Green ash,41.50018135981132,-94.64403152698114,172
Green ash,41.87339176587209,-94.66936517843023,139
Green ash,41.655572963597116,-93.45996896784172,98
Green ash,41.65136732735408,-93.98531679645914,83
Green ash,41.510708362183905,-94.24162305304597,53
Green ash,41.64656482275,-92.866350357,40
Norway maple,41.6454522910303,-93.95103221878789,165
Norway maple,41.87271354154639,-94.6670889886598,102
Norway maple,41.66320822974359,-93.0887002323077,97
Norway maple,41.632839410138885,-93.47413489333333,91
Norway maple,41.68608726097561,-94.43105998365853,78
Norway maple,41.84005982362745,-93.90744979960785,72
Norway maple,41.50143805259259,-94.64523804407408,41
Norway maple,41.304201902,-93.438041583,27
Norway maple,41.50900586615384,-94.24707440692308,20
Norway maple,42.246517585263156,-93.06510159684211,19
Littleleaf linden,41.687391972166665,-93.07108787933333,123
Littleleaf linden,41.6503846971875,-93.9876682215625,60
Littleleaf linden,41.8751894682353,-94.68050293852941,34
Littleleaf linden,41.60631754585366,-93.85185417569106,32
Littleleaf linden,41.578741506,-93.452679503,30
Littleleaf linden,41.62937468357143,-94.51263619999999,14
Littleleaf linden,41.841660884285716,-93.90806377,14
Littleleaf linden,41.59187135,-92.848014665,10
Littleleaf linden,41.51058924,-94.268777728,8
Littleleaf linden,42.24494742,-93.06441763999999,2
Honeylocust,41.61055892083969,-93.90088583633587,131
Honeylocust,41.68732363967742,-93.06352333451613,93
Honeylocust,41.805562810714285,-94.64837560464285,36
Honeylocust,41.52398296944445,-94.26157692833334,33
Honeylocust,41.58630407636364,-93.5043292609091,28
Honeylocust,41.8536745052381,-93.94775615619048,22
Honeylocust,41.656681287727274,-93.26566520818182,22
Honeylocust,41.62674351117647,-92.86163534941177,21
Honeylocust,42.247777405,-93.06134182,17
Honeylocust,41.60203109818182,-93.7107968609091,2
Red maple,41.611414156,-94.35722363333333,74
Red maple,41.70878875513514,-93.03149985256756,59
Red maple,41.444553427037036,-93.44579376222224,57
Red maple,41.606543285423726,-93.81134766796609,49
Red maple,41.874068755555555,-94.67687799888888,43
Red maple,41.50872211,-94.14794387653062,43
Red maple,41.562065428604654,-93.17033778511627,30
Red maple,41.703665208837215,-93.94901046790697,27
Red maple,42.24555116,-93.0643034775,9
Red maple,41.63553080859649,-93.46752651982456,4
Callery pear,41.70543861,-93.01798716666667,7
Callery pear,41.601185326,-93.708986916,5
Callery pear,41.58724992857143,-93.5066861757143,3
Callery pear,42.24347241,-93.06434764,3
Callery pear,41.51422867,-94.22811633,3
Callery pear,41.85645353,-93.92480216,2
Callery pear,41.49496533333333,-93.48912444333332,2
Callery pear,41.70214565,-93.06505161666666,1
Callery pear,41.604395034999996,-93.53130094,1
Callery pear,41.593238369999995,-93.48909762,1
Pin oak,41.6474093275,-92.83926202666667,104
Pin oak,41.631036944074076,-93.97078199740741,27
Pin oak,41.55897557269231,-93.16164803269231,26
Pin oak,41.68127809,-94.464575378,24
Pin oak,41.69135855836539,-93.05655321894231,23
Pin oak,41.607077940434785,-93.4776556526087,15
Pin oak,41.50352541625,-94.26908769458333,14
Pin oak,42.24542408,-93.06693763999999,12
Pin oak,41.60782745785714,-93.72286142428571,5
Pin oak,41.879239568,-94.68430454,2
London planetree,42.41769971350877,-82.94656884491228,122
London planetree,42.43062563696721,-83.15096817655738,99
London planetree,42.41009130356322,-83.22834215448276,87
London planetree,42.38189808986111,-83.09583566583333,72
London planetree,42.43525189474747,-83.2564462780808,57
London planetree,42.435550635,-83.0395704886111,52
London planetree,42.34788440384615,-83.25441175,46
